CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure, Balance ,NumOfProducts,HasCrCard,IsActiveMember, EstimatedSalary ,Exited,Complain,Satisfaction Score,Card Type,Point Earned
15634602,Hargrave,619,France,Female,42,2, $-   ,1,1,1," $101,348.88 ",1,1,2,DIAMOND,464
15647311,Hill,608,Spain,Female,41,1," $83,807.86 ",1,0,1," $112,542.58 ",0,1,3,DIAMOND,456
15619304,Onio,502,France,Female,42,8," $159,660.80 ",3,1,0," $113,931.57 ",1,1,3,DIAMOND,377
15701354,Boni,699,France,Female,39,1, $-   ,2,0,0," $93,826.63 ",0,0,5,GOLD,350
15737888,Mitchell,850,Spain,Female,43,2," $125,510.82 ",1,1,1," $79,084.10 ",0,0,5,GOLD,425
15574012,Chu,645,Spain,Male,44,8," $113,755.78 ",2,1,0," $149,756.71 ",1,1,5,DIAMOND,484
15592531,Bartlett,822,France,Male,50,7, $-   ,2,1,1," $10,062.80 ",0,0,2,SILVER,206
15656148,Obinna,376,Germany,Female,29,4," $115,046.74 ",4,1,0," $119,346.88 ",1,1,2,DIAMOND,282
15792365,He,501,France,Male,44,4," $142,051.07 ",2,0,1," $74,940.50 ",0,0,3,GOLD,251
15592389,H?,684,France,Male,27,2," $134,603.88 ",1,1,1," $71,725.73 ",0,0,3,GOLD,342
15767821,Bearce,528,France,Male,31,6," $102,016.72 ",2,0,0," $80,181.12 ",0,0,3,GOLD,264
15737173,Andrews,497,Spain,Male,24,3, $-   ,2,1,0," $76,390.01 ",0,0,3,GOLD,249
15632264,Kay,476,France,Female,34,10, $-   ,2,1,0," $26,260.98 ",0,0,3,SILVER,119
15691483,Chin,549,France,Female,25,5, $-   ,2,0,0," $190,857.79 ",0,0,3,PLATINUM,549
15600882,Scott,635,Spain,Female,35,7, $-   ,2,1,1," $65,951.65 ",0,0,2,GOLD,318
15643966,Goforth,616,Germany,Male,45,3," $143,129.41 ",2,0,1," $64,327.26 ",0,0,5,GOLD,308
15737452,Romeo,653,Germany,Male,58,1," $132,602.88 ",1,1,0," $5,097.67 ",1,0,2,SILVER,163
15788218,Henderson,549,Spain,Female,24,9, $-   ,2,1,1," $14,406.41 ",0,0,3,SILVER,544
15661507,Muldrow,587,Spain,Male,45,6, $-   ,1,0,0," $158,684.81 ",0,0,3,PLATINUM,732
15568982,Hao,726,France,Female,24,6, $-   ,2,1,1," $54,724.03 ",0,0,4,GOLD,477
15577657,McDonald,732,France,Male,41,8, $-   ,2,1,1," $170,886.17 ",0,0,3,PLATINUM,568
15597945,Dellucci,636,Spain,Female,32,8, $-   ,2,1,0," $138,555.46 ",0,0,2,DIAMOND,336
15699309,Gerasimov,510,Spain,Female,38,4, $-   ,1,1,0," $118,913.53 ",1,1,2,DIAMOND,887
15725737,Mosman,669,France,Male,46,3, $-   ,2,0,1," $8,487.75 ",0,0,2,SILVER,665
15625047,Yen,846,France,Female,38,5, $-   ,1,1,1," $187,616.16 ",0,0,3,PLATINUM,225
15738191,Maclean,577,France,Male,25,3, $-   ,2,0,1," $124,508.29 ",0,0,3,PLATINUM,659
15736816,Young,756,Germany,Male,36,2," $136,815.64 ",1,1,1," $170,041.95 ",0,0,5,DIAMOND,236
15700772,Nebechi,571,France,Male,44,9, $-   ,2,0,0," $38,433.35 ",0,0,4,PLATINUM,448
15728693,McWilliams,574,Germany,Female,43,3," $141,349.43 ",1,1,1," $100,187.43 ",0,0,5,DIAMOND,499
15656300,Lucciano,411,France,Male,29,0," $59,697.17 ",2,1,1," $53,483.21 ",0,0,2,GOLD,343
15589475,Azikiwe,591,Spain,Female,39,3, $-   ,3,1,0," $140,469.38 ",1,1,3,DIAMOND,298
